                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00085,                0.09829,                0.00049,                0.00025,                    nan,                    nan,                    nan,              0.0033314,              0.0033314,              0.0033314
                      2,                    nan,                    nan,                    nan,                0.00085,                0.09987,                0.00049,                0.00025,                    nan,                    nan,                    nan,              0.0065822,              0.0065822,              0.0065822
                      3,                    nan,                    nan,                    nan,                0.00088,                0.10384,                0.00051,                0.00026,                    nan,                    nan,                    nan,              0.0097506,              0.0097506,              0.0097506
                      4,                    nan,                    nan,                    nan,                0.00088,                0.10304,                0.00051,                0.00026,                    nan,                    nan,                    nan,              0.0096288,              0.0096288,              0.0096288
                      5,                    nan,                    nan,                    nan,                0.00088,                0.10145,                0.00051,                0.00026,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                      6,                    nan,                    nan,                    nan,                0.00086,                0.09863,                 0.0005,                0.00025,                    nan,                    nan,                    nan,              0.0093813,              0.0093813,              0.0093813
                      7,                    nan,                    nan,                    nan,                0.00086,                0.09767,                 0.0005,                0.00025,                    nan,                    nan,                    nan,              0.0092575,              0.0092575,              0.0092575
                      8,                    nan,                    nan,                    nan,                0.00087,                0.10113,                0.00051,                0.00026,                    nan,                    nan,                    nan,              0.0091337,              0.0091337,              0.0091337
                      9,                    nan,                    nan,                    nan,                0.00087,                 0.0996,                 0.0005,                0.00025,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     10,                    nan,                    nan,                    nan,                0.00086,                0.09918,                 0.0005,                0.00025,                    nan,                    nan,                    nan,              0.0088863,              0.0088863,              0.0088863
                     11,                    nan,                    nan,                    nan,                0.00086,                0.09859,                 0.0005,                0.00025,                    nan,                    nan,                    nan,              0.0087625,              0.0087625,              0.0087625
                     12,                    nan,                    nan,                    nan,                0.00087,                0.10139,                 0.0005,                0.00025,                    nan,                    nan,                    nan,              0.0086388,              0.0086388,              0.0086388
                     13,                    nan,                    nan,                    nan,                0.00087,                0.10226,                 0.0005,                0.00025,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     14,                    nan,                    nan,                    nan,                0.00086,                0.09957,                 0.0005,                0.00025,                    nan,                    nan,                    nan,              0.0083913,              0.0083913,              0.0083913
                     15,                    nan,                    nan,                    nan,                0.00086,                0.09929,                 0.0005,                0.00025,                    nan,                    nan,                    nan,              0.0082675,              0.0082675,              0.0082675
                     16,                    nan,                    nan,                    nan,                0.00087,                0.10013,                 0.0005,                0.00026,                    nan,                    nan,                    nan,              0.0081437,              0.0081437,              0.0081437
                     17,                    nan,                    nan,                    nan,                0.00086,                0.09899,                 0.0005,                0.00025,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     18,                    nan,                    nan,                    nan,                0.00086,                0.09925,                0.00049,                0.00025,                    nan,                    nan,                    nan,              0.0078963,              0.0078963,              0.0078963
                     19,                    nan,                    nan,                    nan,                0.00086,                0.09958,                 0.0005,                0.00025,                    nan,                    nan,                    nan,              0.0077725,              0.0077725,              0.0077725
                     20,                    nan,                    nan,                    nan,                0.00086,                0.09951,                 0.0005,                0.00025,                    nan,                    nan,                    nan,              0.0076488,              0.0076488,              0.0076488
                     21,                    nan,                    nan,                    nan,                0.00086,                0.09911,                 0.0005,                0.00025,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     22,                    nan,                    nan,                    nan,                0.00087,                0.10011,                 0.0005,                0.00025,                    nan,                    nan,                    nan,              0.0074013,              0.0074013,              0.0074013
